seq,xcol, ycol
231,3360.7551, 5536.7773
232,4566.1, 6100.9546
233,2544.2043, 4463.043
234,2866.8079, 3444.0483
235,0.0, 734.4324
236,1972.907, 451.06552
237,2592.9075, 580.4703
238,1866.7584, 445.55573
239,1286.5529, 3448.9006
240,1267.5414, 5336.9985
241,3471.3298, 6182.8994
242,547.4454, 1875.9703
243,1927.1631, 4600.9585
244,1654.4875, 6553.6343
245,1782.2263, 5567.0737
246,3497.3145, 1446.2991
247,0.0, 709.70715
248,0.0, 760.52264
249,259.47055, 579.0945
250,612.10895, 5829.446
251,0.0, 625.86163
252,0.0, 770.13257
253,1914.0583, 5874.316
254,2120.445, 5569.1553
255,89.74602, 3272.8157
256,327.0397, 6468.1753
257,0.0, 397.33484
258,298.085, 4765.8975
259,6.904693, 3600.8428
260,288.43225, 2370.2324
261,4447.2163, 6742.6855
262,2005.4594, 4510.4966
263,2442.7446, 4694.3613
264,3598.678, 6075.3467
265,1165.5109, 650.6113
266,0.0, 411.11404
267,2171.6238, 5580.3745
268,404.22464, 4329.321
269,0.0, 1699.8472
270,4056.3909, 5574.6006
271,71.79951, 669.8563
272,0.0, 413.86972
273,3404.6409, 5906.5977
274,2659.6604, 5483.9995
275,204.29202, 3304.1284
276,362.88074, 602.4809
277,2198.3577, 5225.34
278,3334.8652, 5315.55
279,1135.528, 3472.9185
280,1428.747, 735.8058
281,1042.7162, 794.8379
282,0.0, 535.0583
283,2777.2615, 5307.493
284,929.1828, 4946.9434
285,3581.2253, 5618.9116
286,2010.658, 1015.38214
287,1649.1431, 667.1073
288,1979.4258, 649.2365
289,1328.6084, 5210.9834
290,4363.4287, 5259.8467
291,860.6754, 5300.673
292,2469.5264, 4031.287
293,2314.2898, 4883.728
294,2760.3882, 5044.843
295,4476.8696, 5694.2627
296,327.0397, 5091.0503
297,4166.543, 6166.595
298,1739.7645, 3324.3916
299,1100.0648, 4107.6914
300,1861.4915, 4957.0664
301,566.7112, 5233.9326
302,2027.5343, 5887.583
303,697.34174, 5334.7827
304,2048.2642, 5565.535
305,2527.4475, 5784.663
306,4314.9805, 4244.468
307,734.4324, 535.0583
308,1465.187, 6597.087
309,3733.1863, 4658.189
310,3238.1653, 5741.6694
311,1609.0082, 1653.1516
312,2083.14, 5734.582
313,2814.0667, 4927.559
314,678.1029, 500.64246
315,2598.8083, 1649.1431
316,706.9595, 4679.0537
317,0.0, 511.65668
318,4232.355, 5926.2417
319,2456.1533, 5660.2837
320,0.0, 482.74207
321,4025.0232, 5540.166
322,3681.7441, 3580.493
323,994.8715, 517.1634
324,158.75735, 481.365
325,0.0, 1488.1018
326,868.9004, 519.9166
327,970.2478, 1647.8068
328,1580.8618, 474.47943
329,2504.606, 6348.054
330,733.05896, 5335.1
331,2172.899, 1908.8123
332,343.58282, 706.9595
333,1832.4832, 1260.7488
334,2190.729, 4664.924
335,2048.2642, 2652.6877
336,1342.162, 6021.858
337,1263.466, 415.24753
338,0.0, 610.7336
339,0.0, 4755.5176
340,748.1652, 2592.9075
341,445.55573, 612.10895
342,0.0, 467.59344
343,2388.76, 5909.573
344,2375.1792, 5834.354
345,1654.4875, 5256.7197
346,2456.1533, 4298.271
347,241.53943, 4973.5596
348,2106.3142, 1361.1262
349,1097.3356, 434.5354
350,1873.3391, 6171.495
351,3117.4204, 5621.532
352,0.0, 1424.6947
353,0.0, 686.34863
354,0.0, 588.72485
355,158.75735, 3965.642
356,1572.8124, 998.9743
357,2072.8206, 3953.2017
358,336.69006, 3776.8152
359,2232.5867, 5319.216
360,3143.7249, 2351.644
361,1595.6104, 6079.023
362,3868.8127, 5217.3926
363,3290.7793, 6445.2534
364,1810.023, 5096.8047
365,1621.0581, 2576.34
366,180.8361, 455.19772
367,1596.9506, 561.20703
368,0.0, 572.215
369,133.91586, 3837.6694
370,311.87363, 673.97974
371,825.0215, 5063.066
372,3184.9116, 5999.0273
373,104.93041, 590.1005
374,143.5768, 424.8918
375,4003.5024, 5942.7993
376,587.3491, 5288.5166
377,2410.9111, 4700.763
378,3552.3472, 5462.53
379,1241.722, 5345.084
380,0.0, 5358.208
381,0.0, 5045.215
382,708.3333, 433.1578
383,2657.3376, 4220.0635
384,0.0, 4573.746
385,2301.7874, 6338.142
386,2310.5417, 4470.129
387,1277.0486, 6346.5884
388,0.0, 581.84607
389,1248.5186, 5905.5493
390,934.6599, 577.7186
391,1431.4481, 2872.2463
392,0.0, 599.72986
393,0.0, 911.37854
394,0.0, 1116.4363
395,2571.5945, 552.95026
396,3102.6597, 5144.309
397,2096.0222, 5898.226
398,925.0746, 3143.7249
399,1555.3606, 471.7251
400,946.98145, 5148.2397
401,2499.783, 5543.536
402,2533.4392, 970.2478
403,1355.7091, 5762.899
404,5136.4844, 6308.4844
405,2408.4543, 4457.0386
406,1540.582, 726.1915
407,3472.9185, 4475.19
408,3385.384, 4257.515
409,6205.088, 972.9843
410,2924.9814, 5723.199
411,3578.293, 5251.595
412,4116.4707, 5454.7705
413,0.0, 4248.217
414,2221.1953, 5499.1606
415,834.62256, 477.2337
416,1005.8116, 5030.2993
417,1127.3469, 5006.16
418,566.7112, 539.1875
419,1392.2534, 412.49188
420,2378.8862, 3061.7812
421,1812.6674, 778.3686
422,245.67754, 455.19772
423,0.0, 521.2932
424,1236.2839, 5456.4736
425,1919.3021, 5089.4297
426,793.46564, 395.95685
427,6535.8823, 4617.3174
428,1718.488, 4877.8647
429,38.663876, 643.7371
430,661.609, 934.6599
431,0.0, 579.0945
432,1802.0868, 6063.101
433,883.9767, 5077.3843
434,844.22217, 4229.2993
435,1576.8374, 2045.6754
436,0.0, 4567.5864
437,1401.7196, 3327.0164
438,2123.0117, 4883.728
439,1347.5817, 1611.6866
440,2208.5166, 5676.332
441,621.7361, 669.8563
442,3513.599, 5344.5376
443,0.0, 1007.1789
444,1887.804, 4399.218
445,2275.451, 5036.6074
446,1057.7432, 968.87946
447,1080.9569, 5581.5015
448,1665.1715, 4919.227
449,2469.5264, 3101.6719
450,1035.8842, 1848.3141
451,0.0, 4138.0415
452,2976.673, 6296.308
453,4764.3975, 6336.605
454,1646.4702, 1376.0176
455,1883.8607, 639.6123
456,0.0, 1461.1409
457,264.98746, 562.58307
458,1653.1516, 963.40576
459,240.16003, 468.97067
460,0.0, 422.13638
461,2646.8674, 5379.472
462,3107.5916, 6228.619
463,636.86237, 4550.0576
464,0.0, 5241.771
465,0.0, 793.46564
466,515.78674, 532.3054
467,82.84368, 722.07074
468,0.0, 658.8597
469,86.98511, 3498.8738
470,0.0, 591.4762
471,2671.2522, 5970.7573
472,0.0, 962.0373
473,1885.1753, 4778.8877
474,2713.8218, 5361.789
475,0.0, 558.45483
476,946.98145, 1776.9254
477,3304.1284, 5820.6797
478,1496.184, 5661.8413
479,1035.8842, 2323.0266
480,0.0, 3634.9753
481,2157.5825, 5296.394
482,1210.4407, 1161.4237
483,678.1029, 415.24753
484,125.634705, 5532.675
485,797.5824, 871.6418
486,0.0, 684.9744
487,0.0, 763.26843
488,0.0, 2235.1157
489,296.70605, 2779.5044
490,698.71576, 5624.242
491,565.33514, 4579.368
492,1917.9913, 6254.2856
493,2742.293, 1029.0511
494,1829.8428, 6152.313
495,2439.0815, 5917.886
496,2212.3225, 3182.0664
497,1363.8344, 889.45807
498,2484.0732, 5135.513
